"id","ko","en","keywords"
"00012","이를 위해 이준협 박사님의 2023년 연구 방법론을 적용하여, 5가지 항성 종족을 혼합한 합성 스펙트럼(Synthetic Spectrum)을 생성하였습니다.","To this end, we generated synthetic spectra by mixing five different stellar populations, following the methodology established in Dr. Jun-Hyeok Lee’s 2023 study.","이준협(2023);합성 스펙트럼;항성 종족 혼합"
"00013","여기에 신호대 잡음비(S/N) 5에서 20 사이의 다양한 노이즈를 추가하여, 총 90,000개의 대규모 학습용 샘플 데이터를 구축하였습니다.","We then incorporated various levels of noise to achieve a signal-to-noise ratio (S/N) between 5 and 20, resulting in a total of 90,000 training samples.","신호대 잡음비;노이즈 삽입;학습 데이터셋"
"00014","스펙트럼 디노이징과 데이터 복원을 위해, CNN과 트랜스포머(Transformer) 기술을 결합한 'Enhanced U-net Transformer' 모델을 채택하였습니다.","For spectral denoising and data reconstruction, we employed the 'Enhanced U-net Transformer' model, which integrates CNN and Transformer architectures.","Enhanced U-net Transformer;디노이징 모델;씨엔엔;CNN -트랜스포머 결합"
"00015","CNN 기반의 U-net 구조를 통해 뛰어난 복원 성능을 확보하는 한편, 유넷(U-net)의 바틀넥(bottleneck) 구간에 트랜스포머를 배치하여 스펙트럼 전체의 전역적 상관관계를 학습하도록 설계했습니다.","While the CNN-based U-net structure ensures high reconstruction performance, the Transformer positioned at the bottleneck allows the model to capture global correlations within the spectrum.","유넷;U-net;바틀넥;트랜스포머;전역적 상관관계"
"00016","모델을 효과적으로 학습시키기 위해, 저희는 세 가지 요소가 결합된 복합 손실 함수(Composite Loss Function)를 설계하여 사용하였습니다.","To train the model effectively, we designed and utilized a composite loss function consisting of three distinct components.","복합 손실 함수;모델 학습;손실 함수 설계"
"00017","먼저, 기본적인 픽셀 단위의 정확도를 확보하기 위해 평균제곱오차(MSE)를 도입하여 전반적인 복원 성능의 기초를 다졌습니다.","First, we employed Mean Squared Error (MSE) to ensure basic pixel-wise accuracy, establishing a foundation for overall reconstruction performance.","평균제곱오차;MSE;픽셀 정확도;복원 기초"
"00018","두 번째로, 날카로운 흡수선과 같은 미세한 특징들을 정밀하게 복원하고자 해당 특징점에 가중치를 부여하는 별도의 손실 함수를 추가했습니다.","Second, to precisely reconstruct fine features like sharp absorption lines, we added a weighted loss function that emphasizes these specific spectral features.","흡수선 복원;가중치 손실 함수;미세 특징"
"00019","마지막으로 푸리에 변환(Fourier Transform) 도메인에서의 손실을 계산하여, 고주파 노이즈에는 둔감하게 반응하면서도 은하 스펙트럼의 거시적인 연속체(Continuum)를 물리적으로 정확하게 복원하도록 했습니다.","Lastly, by calculating loss in the Fourier Transform domain, we ensured the model remains robust against high-frequency noise while accurately recovering the macroscopic physical continuum of the galaxy spectrum.","푸리에 도메인;연속체 복원;고주파 노이즈 억제"
"00020","결과적으로 이 세 가지 손실 함수를 최적화함으로써, 디테일한 흡수선과 전역적인 스펙트럼의 구조를 동시에 완벽하게 재구성할 수 있게 되었습니다.","By optimizing these three loss functions together, our model is able to simultaneously and superbly reconstruct both detailed absorption lines and the global spectral framework.","손실 함수 최적화;스펙트럼 재구성;전역적 구조"
"00021","지금 보시는 그래프는 1,000 에포크(Epoch) 동안 모델을 훈련시키며 기록한 손실(Loss) 값의 변화입니다.","The graph shown here illustrates the changes in loss values recorded during the 1,000 training epochs of the model.","손실 그래프;모델 학습;에포크"
"00022","검은색 실선은 훈련 데이터에 대한 손실을, 붉은색 점선은 검증 데이터에 대한 손실을 각각 나타냅니다.","The solid black line represents the training loss, while the red dotted line indicates the validation loss.","훈련 손실;검증 손실;데이터 시각화"
"00023","모델이 훈련 데이터에만 과도하게 최적화되는 과적합(Overfitting)을 방지하기 위해, 검증 손실이 500 에포크 동안 개선되지 않으면 학습을 중단하는 조기 종료 조건을 설정하였습니다.","To prevent overfitting, we implemented an early stopping condition that terminates training if the validation loss does not improve for 500 consecutive epochs.","과적합 방지;조기 종료;얼리스탑;Early Stopping"
"00024","이번 실험에서는 조기 종료가 발동되지 않았으며, 974번째 에포크에서 검증 손실이 가장 낮은 최소치를 기록하였습니다.","In this session, early stopping was not triggered, and the model reached its minimum validation loss at the 974th epoch.","최소 손실;최적 에포크;학습 결과"
"00025","이후 보여드릴 모든 결과물은 가장 우수한 성능을 보였던 974 에포크의 모델 체크포인트를 기준으로 도출된 것입니다.","All subsequent results presented are derived from the model checkpoint at the 974th epoch, which demonstrated the best performance.","모델 체크포인트;성능 기준;결과 도출"
"00026","화면의 4개 패널은 신호대 잡음비(S/N)가 각각 5, 10, 15, 20인 조건에서 임의의 합성 스펙트럼이 어떻게 복원되었는지 보여주는 예시입니다.","The four panels on the screen illustrate examples of how synthetic spectra are reconstructed under signal-to-noise ratio (S/N) conditions of 5, 10, 15, and 20, respectively.","신호대 잡음비;S/N 조건;스펙트럼 복원 예시;합성 스펙트럼"
"00027","각 패널에서 붉은색 선은 노이즈가 섞인 입력 스펙트럼을, 짙은 파란색 실선은 우리가 도달하고자 하는 정답(Ground Truth) 스펙트럼을 나타냅니다.","In each panel, the red line represents the noisy input spectrum, while the dark bold blue line shows the ground truth spectrum we aim to reach.","입력 스펙트럼;정답 스펙트럼;데이터 시각화"
"00028","시안색 선은 제가 개발한 EUT 모델을 통해 디노이징을 수행한 결과물입니다.","The cyan line represents the denoising results produced by my EUT model.","EUT 모델 결과;디노이징 출력;시안색 선"
"00029","특히 가장 노이즈가 심한 신호대 잡음비(S/N)=5 패널을 보시면, 붉은색 입력 데이터는 노이즈로 인해 원래의 연속체(Continuum) 흐름조차 파악하기 어려운 상태입니다.","Specifically, in the S/N=5 panel where noise is most severe, the red input data is so degraded that even the original continuum flow is difficult to discern.","신호대 잡음비;S/N 가 5;고잡음 데이터;연속체 파악 불가"
"00030","하지만 모델을 거친 시안색 선은 정답인 파란색 선과 거의 완벽하게 일치하며, 스펙트럼의 본래 특징들을 매우 훌륭하게 복원해내고 있습니다.","However, the cyan line from the model aligns almost perfectly with the blue ground truth, demonstrating an excellent recovery of the spectrum's original features.","정답 일치;특성 복원;모델 성능"
"00031","이러한 복원 성능의 차이는 패널 하단의 잔차(Residual) 그래프에서 더욱 명확하게 드러납니다.","This performance gap is even more evident in the residual graphs located at the bottom of each panel.","잔차 그래프;성능 분석;데이터 가시화"
"00032","디노이징 후의 시안색 잔차는 0을 기준으로 매우 평탄하게 나타나며, 실제로 신호대 잡음비(S/N)=5 예시에서 잔차의 알엠에스(RMS) 값은 0.0623에서 0.0017로 대폭 감소하였습니다.","The cyan residuals after denoising appear remarkably flat around zero; in the S/N=5 case, the RMS value of the residuals dropped significantly from 0.0623 to 0.0017.","잔차 평탄도;알엠에스스 감소;정량적 개선"
"00033","다음은 학습에 사용되지 않은 1만 개의 독립적인 테스트 스펙트럼을 대상으로 측정한 정량적인 디노이징 성능 통계입니다.","Next, we present the quantitative denoising performance statistics measured across 10,000 independent test spectra that were not used during training.","테스트 데이터 통계;디노이징 성능;정량 분석"
"00034","이 테스트 샘플은 실험의 객관성을 확보하기 위해 이준협 박사님의 2023년 논문에 사용된 것과 동일한 샘플로 구성하였습니다.","To ensure objectivity, these test samples are identical to those used in the 2023 study by Dr. Jun-Hyeok Lee.","이준협(2023);샘플 객관성;독립 테스트"
"00035","(a) 패널은 신호대 잡음비 수준에 따른 전체 파장 대역의 알엠에스(RMS) 잔차 분포를 보여주며, 붉은색 박스는 원본 노이즈 데이터를, 시안색 박스는 EUT 모델의 결과입니다.","Panel (a) displays the RMS residual distribution across the entire wavelength range by S/N level, where red boxes represent original noisy data and cyan boxes denote our EUT model results.","알엠에스 잔차 분포;박스플롯;데이터 비교"
"00036","(b) 패널을 보면 신호대 잡음비가 높을수록 디노이징 결과의 알엠에스(RMS) 분포가 0에 가깝게 좁아지는 것을 확인할 수 있습니다.","Panel (b) shows the RMS distribution of the denoised results, illustrating that the distribution narrows toward zero as the signal-to-noise ratio increases.","알엠에스;RMS 분포;S/N 상관관계;정밀도 향상"
"00037","특히 가장 열악한 조건인 신호대 잡음비(S/N)가 5인 스펙트럼에서도 90% 이상의 탁월한 노이즈 감소율을 보여주고 있습니다.","Notably, even in the most challenging condition of S/N=5, the model achieves an exceptional noise reduction rate of over 90%.","노이즈 감소율;신호대 잡음비;S/N 가 5 성능;극한 조건 복원"
"00038","(c) 패널은 피어슨 상관계수를 통해 정답 스펙트럼과의 일치율을 계산한 결과로, 노이즈가 있는 원본에 비해 압도적으로 높은 복원율을 증명합니다.","Panel (c) presents the reconstruction fidelity calculated using Pearson correlation coefficients, proving a significantly higher recovery rate compared to the original noisy spectra.","피어슨 상관계수;복원율;상관관계 분석"
"00039","(d) 패널의 분포를 보면 신호대 잡음비(S/N)가 5인 샘플조차 평균 99.86%의 높은 복원율과 0.11%라는 매우 낮은 표준편차를 기록했습니다.","In panel (d), even the samples with S/N=5 recorded a remarkably high average recovery rate of 99.86% with a standard deviation of only 0.11%.","복원율 분포;표준편차;통계적 안정성"
"00040","결론적으로 본 모델은 다양한 은하 스펙트럼에서 본연의 물리적 신호를 완벽히 보존하면서 노이즈만을 효과적으로 억제하고 있음을 알 수 있습니다.","In conclusion, these results demonstrate that our model effectively suppresses noise while perfectly preserving the inherent physical signals across a wide range of galaxy spectra.","물리적 신호 보존;노이즈 억제;결론"
"00041","저희 모델이 주요 흡수선(Absorption lines)들을 얼마나 정밀하게 보존하는지 세부적으로 살펴보겠습니다.","Let's take a closer look at how precisely our model preserves key absorption lines.","흡수선 보존;정밀도 분석;모델 검증"
"00042","화면의 6개 패널은 주요 흡수선 영역을 확대한 결과로, 짙은 파란색은 정답 스펙트럼을, 붉은색은 노이즈 데이터를, 시안색은 이유티(EUT) 모델의 디노이징 결과를 나타냅니다.","The six panels on the screen show zoomed-in views of major absorption line regions, where dark blue represents the ground truth, red is the noisy data, and cyan is the denoising result of the EUT model.","흡수선 확대;데이터 시각화;이유티;EUT 결과"
"00043","그래프에서 실선은 신호대 잡음비(S/N)가 5인 경우를, 파선은 신호대 잡음비(S/N)가 10인 경우를 각각 의미합니다.","In the graphs, solid lines represent the case with a signal-to-noise ratio (S/N) of 5, while dashed lines indicate the case with an S/N of 10.","신호대 잡음비;실선과 파선;S/N 비교"
"00044","붉은색 선을 보시면 노이즈의 진폭이 흡수선의 깊이와 비슷하거나 더 커서, 본래의 선 형태와 구조가 완전히 왜곡되어 있음을 알 수 있습니다.","As seen in the red lines, the noise amplitude is comparable to or even greater than the depth of the absorption lines, completely distorting the original line shapes and structures.","노이즈 왜곡;선 형태 손실;진폭 분석"
"00045","반면 EUT 모델을 거친 시안색 선은 정답인 파란색 선의 형태, 깊이, 선폭(width)을 놀라울 정도로 완벽하게 재현하며 복원해 내고 있습니다.","In contrast, the cyan lines from our EUT model remarkably reconstruct the spectra, following the shape, depth, and width of the blue ground truth lines with near-perfect accuracy.","흡수선 재현;선폭 복원;모델 성능"
"00046","가장 열악한 조건인 신호대 잡음비(S/N) 5 환경에서, 각 흡수선들이 통계적으로 얼마나 잘 복원되었는지 확인해 보겠습니다.","We will now statistically verify the recovery rate of each absorption line under the most challenging condition of S/N = 5.","신호대 잡음비;S/N 가 5 통계;흡수선 복원율;성능 검증"
"00047","상단의 (a)와 (b) 패널은 정답 스펙트럼 대비 잔차(Residual)의 분포를 나타내며, 붉은색 박스는 노이즈 데이터를, 시안색 박스는 이유티(EUT) 모델의 결과를 의미합니다.","Panels (a) and (b) at the top show the distribution of residuals relative to the ground truth, with red boxes representing noisy data and cyan boxes indicating EUT model results.","잔차 분포;박스플롯 비교;데이터 시각화"
"00048","보시는 것처럼 EUT 모델은 흡수선별 오차를 극적으로 줄였으며, 특히 Fe I 4383 선의 경우 잔차가 무려 96.5%나 개선되는 탁월한 효과를 보였습니다.","As shown, the EUT model dramatically reduced errors for each absorption line; specifically, for the Fe I 4383 line, the residual improved by a remarkable 96.5%.","Fe I 4383;오차 감소;성능 개선율"
"00049","하단의 (c)와 (d) 패널은 복원율 지표를 보여주는데, 저희 이유티(EUT) 모델을 통한 디노이징 결과는 모든 흡수선에서 100%에 가까운 복원율을 기록하고 있습니다.","Panels (c) and (d) at the bottom present the reconstruction fidelity indicators, where the EUT model results show a recovery rate near 100% for all absorption lines.","복원율 지표;복원율;모델 우수성"
"00050","(d) 패널의 분포를 보면 앰쥐비(Mg b)나 엔에이 디(Na D) 선에서 상대적으로 넓은 분포를 보이지만, 이들 역시 모두 99% 이상의 높은 복원율을 유지하고 있음을 확인할 수 있습니다.","In panel (d), while the distribution for Mg b or Na D lines is relatively broader, they still maintain a high recovery rate of over 99%.","Mg b;Na D;복원율 분포;통계적 안정성"
"00051","결론적으로 EUT 모델은 단순히 노이즈를 뭉개는 것이 아니라, 항성 종족 분석에 필수적인 미세 흡수선의 물리적 프로파일을 정확하게 재건해 냅니다.","In conclusion, the EUT model does not simply smooth out noise; it accurately reconstructs the physical profiles of fine absorption lines essential for stellar population analysis.","물리적 프로파일 재건;항성 종족 분석;모델 결론"
"00052","EUT 모델의 디노이징 기술이 실제 은하의 물리량 분석, 특히 항성 종족의 질량 가중 나이(Mass-weighted age) 추정에 미치는 실질적인 영향을 확인해 보겠습니다.","Let's examine the practical impact of EUT model denoising on the analysis of physical quantities, specifically in estimating the mass-weighted age of stellar populations.","항성 종족 나이;물리량 분석;실질적 향상"
"00053","화면의 산포도 그래프들은 전체 스펙트럼 피팅 도구인 피피엑스에프(pPXF)를 사용해 나이를 추정한 결과로, 가로축은 실제 입력값(Input)을, 세로축은 복원된 추정값(Recovered)을 나타냅니다.","These scatter plots show the age estimation results using pPXF, a full spectrum fitting tool, where the x-axis represents the true input values and the y-axis shows the recovered estimates.","피피엑스에프;산포도 그래프;나이 추정"
"00054","상단 행은 노이즈가 포함된 원본 데이터의 결과이며, 하단 행은 EUT 모델로 디노이징한 후의 결과입니다. 왼쪽부터 신호대 잡음비(S/N)가 각각 5, 10, 20인 상황을 보여줍니다.","The top row displays results from the original noisy data, while the bottom row shows the results after EUT denoising, arranged from left to right for S/N ratios of 5, 10, and 20.","노이즈 데이터 비교;신호대 잡음비;S/N 조건;비교 분석"
"00055","S/N=5인 극한의 조건에서 노이즈 데이터는 알엠에스(RMS) 오차가 0.412 dex에 달하며, 특히 젊거나 늙은 별들이 중간값으로 쏠리는 '평균으로의 회귀' 편향이 뚜렷하게 나타납니다.","Under the extreme condition of S/N = 5, the noisy data shows an RMS error of 0.412 dex, with a distinct 'regression to the mean' bias where very young or old stars lean toward intermediate values.","신호대 잡음비;S/N 가 5 오차;평균으로의 회귀;통계적 편향"
"00056","반면 디노이징을 거친 결과는 데이터가 1:1 대각선을 따라 명확하게 군집하며, 알엠에스(RMS) 오차가 줄어들어 정밀도가 약 40%가량 대폭 향상되었습니다.","In contrast, the denoised results show data clustering much more tightly along the 1:1 diagonal, with a significant precision improvement of approximately 40% as the RMS error decreases.","정밀도 향상;1:1 대각선;알엠에스;RMS 감소"
"00057","S/N=10의 경우에도 노이즈 데이터의 오차가 0.324 dex에서 디노이징 후 0.224 dex로 약 30% 감소하며 유의미한 성능 향상을 입증했습니다.","Similarly, for S/N = 10, the error was reduced from 0.324 dex in the noisy data to 0.224 dex after denoising, demonstrating a meaningful performance gain of about 30%.","S/N=10 성능;오차 감소;유의미한 개선"
"00058","마지막으로 신호대 잡음비(S/N)가 20 패널을 보시면, 데이터 품질이 이미 충분한 상황에서도 분석 결과의 안정성을 유지하며 원본의 우수한 성능을 그대로 보존함을 알 수 있습니다.","Finally, in the S/N = 20 panel, the model maintains the stability of the analysis results even in high-quality data conditions, preserving the original excellent performance.","신호대 잡음비;S/N 가 20 안정성;데이터 보존;결과 일관성"
"00059","이어서 질량 가중 금속성(Mass-weighted Metallicity, [M/H])의 복원 결과를 통해 모델의 성능을 다각도로 검증해 보겠습니다.","Next, we will examine the recovery results for mass-weighted metallicity ([M/H]) to verify the model's performance from multiple perspectives.","질량 가중 금속성;금속성 복원;모델 검증"
"00060","그래프의 구성은 이전과 동일하게 가로축은 정답(Input)을, 세로축은 추정치(Recovered)를 나타내며 위쪽 행은 원본 노이즈 데이터를, 아래쪽 행은 이유티(EUT) 모델의 결과입니다.","The graph layout remains consistent: the x-axis represents the ground truth (Input) and the y-axis shows the estimated value (Recovered), with the top row displaying noisy data and the bottom row showing EUT model results.","산포도 구성;정답 대비 추정치;데이터 레이아웃"
"00061","신호대 잡음비(S/N) 5인 조건에서 원본 데이터의 알엠에스(RMS) 오차는 0.446 덱스(dex)로 상당히 넓게 퍼져 있으나, 디노이징 후에는 0.358 덱스(dex)로 줄어들며 정밀도가 약 20% 향상되었습니다.","At S/N=5, the RMS error of the original data is quite dispersed at 0.446 dex, but after denoising, it decreases to 0.358 dex, showing a precision improvement of approximately 20%.","신호대 잡음비;S/N 가 5 금속성 오차;알엠에스;RMS 감소;정밀도 향상"
"00062","추정 정확도를 보여주는 피어슨 상관계수(R_p) 또한 0.601에서 0.654로 증가하여, 데이터들이 1:1 대각선에 한층 더 가깝게 군집하는 것을 확인할 수 있습니다.","The Pearson correlation coefficient (R_p), which indicates estimation accuracy, also increased from 0.601 to 0.654, showing that the data points cluster more tightly along the 1:1 diagonal.","피어슨 상관계수;상관관계 향상;1:1 대각선"
"00063","가운데 신호대 잡음비(S/N)가 10 패널에서도 디노이징 후 알엠에스(RMS) 오차가 0.315 덱스(dex)에서 0.278 덱스(dex)로 감소하며 뚜렷한 개선 효과를 입증하고 있습니다.","In the S/N=10 panel, the RMS error also dropped from 0.315 dex to 0.278 dex after denoising, proving a clear enhancement in performance.","S/N=10 성능 개선;오차 분석;유의미한 결과"
"00064","마지막으로 신호대 잡음비(S/N) 가20 패널에서는 디노이징 전후의 결과가 매우 유사하게 유지되어, 우리 모델이 고품질 데이터의 원본 신호를 왜곡하지 않고 안정적으로 작동함을 보여줍니다.","Lastly, in the S/N=20 panel, the results remain nearly identical before and after denoising, confirming that our model operates stably without distorting the original signals in high-quality data.","신호대 잡음비;S/N 가 20 안정성;신호 보존;모델 신뢰도"
"00065","이번 연구를 통해 우리는 EUT 모델을 활용한 머신러닝 기반 스펙트럼 디노이징의 강력한 가능성을 확인하였습니다.","Through this study, we have confirmed the powerful potential of machine learning-based spectral denoising using the EUT model.","EUT 모델, 머신러닝 디노이징, 연구 결론"
"00066","특정 스펙트럼 서베이에서 충분한 양의 고신호대 잡음비(High S/N) 자료와 관측 기기 특유의 노이즈 패턴을 확보할 수 있다면, 해당 서베이에 최적화된 맞춤형 디노이징 모델을 구축할 수 있습니다.","If we can obtain a sufficient volume of high S/N data and specific instrumental noise patterns from a particular spectral survey, we can develop customized denoising models optimized for that survey.","고신호대 잡음비, 노이즈 패턴, 맞춤형 모델 구축"
"00067","이러한 디노이징 모델의 신뢰성을 확보한다면, IFU 자료의 공간 해상도를 희생하지 않고도 은하 외곽 지역의 저신호대 데이터까지 정밀하게 분석할 수 있는 기틀이 마련될 것입니다.","By ensuring the reliability of these denoising models, we can establish a foundation for analyzing low S/N data from the outskirts of galaxies without sacrificing the spatial resolution of IFU observations.","IFU 자료, 공간 해상도 보존, 은하 외곽 연구"
"00068","결과적으로 본 연구는 향후 대규모 은하 탐사 자료의 분석 효율을 높이고, 은하 진화 연구의 지평을 넓히는 데 중요한 역할을 할 것으로 기대됩니다.","In conclusion, this research is expected to play a crucial role in enhancing the analysis efficiency of future large-scale galaxy surveys and expanding the horizons of galaxy evolution studies.","은하 탐사, 분석 효율, 은하 진화 연구"
"00069","현재 저는 LSST 데이터를 활용한 저표면밝기(LSB) 구조 연구를 위해, 익스텐디드 찬트라 딥 필드(ECDFS)의 관측 자료를 기반으로 한 새로운 디노이징 모델을 개발하고 있습니다.","To study Low Surface Brightness (LSB) structures using LSST data, I am developing a new denoising model based on observations from the ECDFS field.","LSST, 저표면밝기(LSB), ECDFS 필드, 디노이징 모델"
"00070","익스텐디드 찬트라 딥 필드(ECDFS) 필드는 동일 영역을 200회 이상 관측한 데이터를 보유하고 있어, 모델 학습을 위한 최적의 '딥 이미지(Deep Image)' 정답 데이터를 제공합니다.","The ECDFS field contains data with over 200 visits to the same region, providing ideal 'Deep Image' ground truth for model training.","ECDFS, 딥 이미지, 학습 데이터, 관측 횟수"
"00071","LSST가 연간 약 80회의 방문 관측을 수행할 것으로 예측됨에 따라, 저희 모델은 1년 차 관측 자료만으로도 수년 치 누적 데이터 수준의 품질을 구현하는 것을 목표로 합니다.","As LSST is expected to conduct about 80 visits per year, our model aims to achieve the quality of multi-year stacked data using only the first year of observations.","연간 관측 횟수, 데이터 품질 향상, LSST 예측"
"00072","이 모델을 통해 첫 번째 데이터 공개(DP1) 시점부터 은하 외곽의 희미한 저표면밝기 구조들을 선제적으로 탐사하고 연구할 수 있을 것으로 기대합니다.","With this model, we expect to preemptively explore and study faint LSB structures in the outskirts of galaxies starting from the first Data Release (DP1).","DP1, 선제적 연구, 은하 외곽 구조, 데이터 공개"
"00073","현재 ECDFS("Extended Chandra Deep Field") 필드의 개별 방문(Visit) 이미지들로부터 딥 이미지를 생성하는 이미지-투-이미지(Image-to-Image) 학습 자료를 성공적으로 구축 중입니다.","Currently, I am successfully constructing Image-to-Image training datasets to generate deep images from individual visit images of the ECDFS field.","이미지-투-이미지, 학습 자료 구축, Visit 이미지"
"00074","SDSS와 DECaLS 이미지를 비교해 보면, 저표면밝기(LSB) 구조에서 매우 유의미한 차이가 나타나는 것을 확인할 수 있습니다.","Comparing SDSS and DECaLS images, we can observe significant differences in their representation of low-surface brightness (LSB) structures.","SDSS vs DECaLS, 저표면밝기 구조, 이미지 비교"
"00075","본격적인 LSST 딥 이미지 시대가 도래하면, 우리는 기존에 관측하지 못했던 은하의 미세한 저표면밝기 구조들을 마주하게 될 것입니다.","As the era of LSST deep imaging arrives, we will be able to observe faint low-surface brightness structures of galaxies that were previously invisible.","LSST 딥 이미지, 미래 관측, LSB 탐사"
"00076","이러한 저표면밝기 구조는 은하의 합병 역사나 주변 환경의 물리적 영향에 따라 민감하게 변화하는 핵심적인 지표로 예측됩니다.","These LSB structures are expected to be key indicators that respond sensitively to galaxy merger histories or environmental physical influences.","은하 합병 역사, 주변 환경 영향, 물리적 지표"
"00077","연구의 효율성을 위해 DECaLS 자료를 바탕으로 은하의 중심부 등 밝은 영역은 마스킹 처리하였으며, 회전 대칭성 및 형태학적 의존성을 제거하고자 이미지를 극좌표계(Polar map)로 변환하였습니다.","To focus on the LSB structures, we masked the bright central regions using DECaLS data and converted the images into polar maps to remove rotational and morphological biases.","마스킹(Masking), 극좌표 변환(Polar map), 전처리"
"00078","이렇게 변환된 극좌표 이미지를 머신러닝 모델에 입력하여 특징 정보를 추출하고, 이를 기반으로 클러스터링을 수행하여 은하의 저표면밝기 구조를 정교하게 분류할 계획입니다.","We plan to input these polar maps into a machine learning model to extract features, which will then be used for clustering and sophisticated classification of LSB structures.","특징 추출, 클러스터링, 은하 분류, 머신러닝 모델"
"00079","은하 스펙트럼 분류 연구를 위해, SDSS 관측 자료 중 적색편이($z$) 0.05 이내에 위치한 모든 은하의 스펙트럼 데이터를 수집하였습니다.","For the galaxy spectrum classification study, we collected spectral data for all galaxies within a redshift ($z$) of 0.05 from the SDSS observation archives.","SDSS, 적색편이(Redshift), 데이터 수집"
"00080","방대한 스펙트럼 데이터를 효과적으로 분류하기 위해서는 데이터의 핵심 특징 정보를 정교하게 압축해낼 수 있는 모델이 필수적입니다.","To effectively classify vast amounts of spectral data, a sophisticated model capable of precisely compressing core feature information is essential.","스펙트럼 분류, 특징 정보 압축, 데이터 모델링"
"00081","저희는 기존 트랜스포머 모델의 토큰(Token) 할당 방식을 두 가지로 나누어, 스펙트럼의 전역적(Global) 특징과 개별 흡수선·방출선의 미세 특징을 동시에 추출하는 모델을 개발하였습니다.","We developed a model that captures both global spectral features and fine absorption/emission line characteristics by applying two distinct tokenization methods to the standard Transformer architecture.","트랜스포머(Transformer), 토큰화(Tokenization), 전역 및 국소 특징"
"00082","이 모델을 통해 연속선과 선 성분의 특징이 압축된 총 256개의 잠재 벡터(Latent vector)를 추출하였으며, 이 정보를 활용해 스펙트럼 클러스터링을 수행할 계획입니다.","Through this model, we extracted a total of 256 latent vectors that compress the features of the continuum and line components, which will be used for spectral clustering.","잠재 벡터(Latent vector), 스펙트럼 클러스터링, 데이터 압축"
"00083","최종적으로 이렇게 분류된 각 스펙트럼 군집들이 실제 은하의 어떠한 물리적 특성 차이를 나타내고 있는지 심층적으로 분석하고자 합니다.","Ultimately, we aim to conduct an in-depth analysis to determine which specific physical property differences of galaxies are reflected by these classified spectral clusters.","물리량 분석, 은하 군집, 데이터 특성 추출"
